,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
178,"Coração de Isca","Bruno & Marrone",118149,https://open.spotify.com/track/4lHoT8PvMpMg1l5kdxqNmD
179,"Sem Querer Querendo","Mad Dogz",117455,https://open.spotify.com/track/4zuPdiCYIGP430RcWuHJPD
180,"Smokin Out The Window","Bruno Mars",117428,https://open.spotify.com/track/7sMBvZCSUl99bJLXZaLa0b
181,"Leave The Door Open","Bruno Mars",115699,https://open.spotify.com/track/1LPSkqVhWVRUkKE03YUkpB
182,"Don't Start Now","Dua Lipa",115608,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
183,Alívio,"Jessé Aguiar",115404,https://open.spotify.com/track/40KZgKCIvRVIoZqv9lNBoP
184,"Não Tô Te Alugando","Humberto & Ronaldo",114826,https://open.spotify.com/track/03D8hNCVDBzQPCHHam1Q16
185,"Fim da Noite","Zé Vaqueiro",114554,https://open.spotify.com/track/4jMrV2f00zM9ifqJal3CcG
186,"Save Your Tears (with Ariana Grande) (Remix)","The Weeknd",114090,https://open.spotify.com/track/37BZB0z9T8Xu7U3e65qxFy
187,"Love Is A Game",Adele,113872,https://open.spotify.com/track/2j3GxEsbNYNeEzz86wDY4J
188,"Happier Than Ever","Billie Eilish",113677,https://open.spotify.com/track/4RVwu0g32PAqgUiJoXsdF8
189,"Ela Não Vai Voltar","João Gomes",113415,https://open.spotify.com/track/0V671zjVuEoXIQDooIsefn
190,"Volta Rapariga","Vitinho Imperador",112524,https://open.spotify.com/track/3CUPWFarYwA0HJQqzje4UD
191,"Bebe e Vem Me Procurar / Quem Ama Sente Saudade (Ao Vivo)","Turma do Pagode",112415,https://open.spotify.com/track/1N19UVD4GRBFT6UrDaX6rk
192,BONEKINHA,"Gloria Groove",112337,https://open.spotify.com/track/79Djb1E319BwnYZ8cEA1mQ
193,"Baile do Cinga do 12","MC Gontijo",111581,https://open.spotify.com/track/5GH9iPvJd3RlOBlMM2R3ME
194,"Liberdade (Quando o Grave Bate Forte)",Alok,111234,https://open.spotify.com/track/2QLbRVzixE282JSQjBz2DG
195,"Sigilo Perigoso","Anderson Neiff",110745,https://open.spotify.com/track/0sp8fhLyY54DtaKi8bkXJf
196,"Bem Pior Que Eu - Ao Vivo","Marília Mendonça",110200,https://open.spotify.com/track/4UANYptjv2kpV6IY7IjXoJ
197,"Se Essa Bunda","Costa Gold",109902,https://open.spotify.com/track/7gMWTBRgB5CZdNDSuweCyr
198,"De Quem É a Culpa? - Ao Vivo","Marília Mendonça",109699,https://open.spotify.com/track/4YhPcVIxIAJrLhFVPGbJkE
199,"Colocando Nela","MC L da Vinte",109312,https://open.spotify.com/track/5uvEyd73MMFvW2WuEghabn
200,"Heat Waves","Glass Animals",108978,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx
